Kategorie,Dovednost,Úroveň,Popis dovednosti (Důkazy a úspěchy)
1. Projektové řízení & Strategie,Řízení E-commerce projektů (End-to-End),Expert,Dokázal jsem řídit projekty od prvotního nápadu až po spuštění a následný servis. Příkladem je vybudování e-commerce oddělení od nuly až po tým 6 lidí a plnohodnotnou infrastrukturu.
1. Projektové řízení & Strategie,Strategické plánování (Roadmapy),Senior,"Nastavil jsem dlouhodobou strategii rozvoje e-shopu, kde jsem místo revolučních změn aplikoval evoluční vývoj, což zajistilo stabilitu a trvalý růst tržeb (znásobení obratu během 4 let)."
1. Projektové řízení & Strategie,Crisis Management (Hašení požárů),Senior,"Dokážu efektivně řešit kritické situace při výpadcích nebo chybách v integracích. Mám praxi s okamžitou prioritizací oprav tak, aby byznys běžel dál."
1. Projektové řízení & Strategie,Rozpočtování a ROI,Pokročilý,"Mám zkušenost s obhajobou investic u majitelů firem. Dokázal jsem argumentovat daty, proč investovat do nových technologií (např. konfigurátor) a jaká bude návratnost."
2. E-commerce & Business Growth,Dramatický růst tržeb (Scaling),Expert,"V minulém působišti jsem řídil e-shop, kde se roční tržba z roku 2015 stala pouhou měsíční marží v roce 2019. Vím, jak technicky připravit e-shop na takový růst."
2. E-commerce & Business Growth,B2B portály a procesy,Senior,"Navrhl a zrealizoval jsem B2B nástroje pro řemeslníky (aplikace ColMACHR), které jim usnadnily tvorbu rozpočtů a zvýšily jejich loajalitu k firmě."
2. E-commerce & Business Growth,Optimalizace konverzního poměru (CRO),Pokročilý,"Implementoval jsem pokročilé konfigurátory a kalkulátory přímo do nákupního procesu, což výrazně zvýšilo přidanou hodnotu pro zákazníka a konverze."
2. E-commerce & Business Growth,E-commerce logistika,Pokročilý,"Chápu e-shop jako celek včetně skladu. Řešil jsem toky objednávek tak, aby expedice stíhala i při násobném růstu objemu."
"3. ERP, WMS & Podnikové systémy","Datové migrace (ERP, CRM)",Expert,Byl jsem klíčovou osobou při migraci z Navision na Microsoft Dynamics 365 Business Central. Řešil jsem datovou integritu a napojení na e-shop pro 10 poboček.
"3. ERP, WMS & Podnikové systémy",Implementace WMS,Senior,"Spolupracoval jsem na zavádění skladového hospodářství. Rozumím logice skladových pozic, čárových kódů a automatizaci expedice."
"3. ERP, WMS & Podnikové systémy",CRM integrace,Pokročilý,Rozšířil jsem ERP o CRM modul pro lepší práci se zákazníky. Dokázal jsem propojit obchodní data s e-shopovou historií zákazníka.
"3. ERP, WMS & Podnikové systémy","Znalost trhu ERP (Pohoda, K2, ABRA...)",Pokročilý,"Mám přehled o funkcionalitách většiny českých ERP systémů (Pohoda, Odoo, ABRA), což mi umožňuje rychle pochopit specifika jakékoli integrace."
"3. ERP, WMS & Podnikové systémy",Účetní a procesní přesah,Pokročilý,"Díky vedení vlastní firmy rozumím účetním souvislostem (fakturace, DPH, marže) a vím, jak je správně propsat do IT systémů."
"4. Data, SQL & Reporting",SQL & Databázové dotazy,Pokročilý,"Dokážu psát vlastní SQL dotazy (MSSQL) pro získání dat, která standardní reporty neumí. Nečekám na programátora, data si vytáhnu sám."
"4. Data, SQL & Reporting",Pokročilá práce s Excelem (Google sheets),Expert,"Mám stovky hodin praxe v Excelu. Dokážu zpracovat obrovské datové sety, čistit data před importem a tvořit složité analytické modely."
"4. Data, SQL & Reporting",Vizualizace dat (Looker studio / PowerBI),Pokročilý,"Umím napojit data z BigQuery nebo SQL do Looker Studia a vytvořit přehledné dashboardy pro vedení firmy, kde jsou vidět reálné výsledky v čase."
"4. Data, SQL & Reporting",Práce s produktovými feedy,Expert,Strávil jsem stovky hodin v nástrojích jako Mergado. Umím optimalizovat XML a CSV feedy pro srovnávače i pro interní datové přenosy.
"4. Data, SQL & Reporting",Datová migrace a čištění,Senior,"Při přechodu na nové systémy jsem zodpovídal za migraci kmenových dat produktů a zákazníků. Vím, jak zajistit, aby se data „cestou neztratila“."
"5. AI, Automatizace & Inovace",Tvorba AI Agentů,Pokročilý,Aktivně vytvářím AI agenty (lokální i cloudové) pro automatizaci rutinních úkolů. Využívám nástroje jako Google Vertex AI či OpenAI API.
